school_name,address,postal_code,url_address,region,education_level,lat,lon
ADMIRALTY PRIMARY SCHOOL,11 WOODLANDS CIRCLE   ,738907,https://admiraltypri.moe.edu.sg/,North,Primary,1.436,103.786
ADMIRALTY SECONDARY SCHOOL,31 WOODLANDS CRESCENT   ,737916,http://www.admiraltysec.moe.edu.sg,North,Secondary,1.436,103.786
AHMAD IBRAHIM PRIMARY SCHOOL,10 YISHUN STREET 11   ,768643,http://www.ahmadibrahimpri.moe.edu.sg,North,Primary,1.428,103.837
AHMAD IBRAHIM SECONDARY SCHOOL,751 YISHUN AVENUE 7   ,768928,http://www.ahmadibrahimsec.moe.edu.sg,North,Secondary,1.428,103.837
AI TONG SCHOOL,100 Bright Hill Drive   ,579646,http://www.aitong.moe.edu.sg,Central,Primary,1.356,103.844
ALEXANDRA PRIMARY SCHOOL,2A Prince Charles Crescent   ,159016,http://alexandrapri.moe.edu.sg,Central,Primary,1.286,103.818
ANCHOR GREEN PRIMARY SCHOOL,31 Anchorvale Drive   ,544969,http://www.anchorgreenpri.moe.edu.sg,North,Primary,1.392,103.893
ANDERSON PRIMARY SCHOOL,19 ANG MO KIO AVE 9   ,569785,http://www.andersonpri.moe.edu.sg,North,Primary,1.369,103.845
ANDERSON SECONDARY SCHOOL,10 ANG MO KIO STREET 53   ,569206,http://www.andersonsec.moe.edu.sg,North,Secondary,1.369,103.845
ANDERSON SERANGOON JUNIOR COLLEGE,1033 Upper Serangoon Road   ,534768,www.asrjc.moe.edu.sg,North,Junior College,1.365,103.875
ANG MO KIO PRIMARY SCHOOL,20 ANG MO KIO AVENUE 3   ,569920,http://www.angmokiopri.moe.edu.sg,North,Primary,1.369,103.845
ANG MO KIO SECONDARY SCHOOL,6 ANG MO KIO STREET 22   ,569362,http://www.angmokiosec.moe.edu.sg,North,Secondary,1.369,103.845
ANGLICAN HIGH SCHOOL,600 UPPER CHANGI ROAD   ,487012,http://www.anglicanhigh.moe.edu.sg,East,Secondary,1.318,103.947
ANGLO-CHINESE JUNIOR COLLEGE,25 DOVER CLOSE EAST   ,139745,https://acjc.moe.edu.sg,West,Junior College,1.306,103.792
ANGLO-CHINESE SCHOOL (BARKER ROAD),60 BARKER ROAD   ,309919,http://www.acsbr.moe.edu.sg,Central,Secondary,1.325,103.841
ANGLO-CHINESE SCHOOL (INDEPENDENT),121 DOVER ROAD   ,139650,https://www.acsindep.moe.edu.sg,West,Secondary,1.306,103.792
ANGLO-CHINESE SCHOOL (JUNIOR),16 WINSTEDT ROAD   ,227988,www.acsj.moe.edu.sg,Central,Primary,1.302,103.837
ANGLO-CHINESE SCHOOL (PRIMARY),50 BARKER ROAD   ,309918,http://www.acspri.moe.edu.sg/,Central,Primary,1.325,103.841
ANGSANA PRIMARY SCHOOL,51 Tampines Street 61   ,528565,https://angsanapri.moe.edu.sg/,East,Primary,1.352,103.944
ASSUMPTION ENGLISH SCHOOL,622 UPPER BUKIT TIMAH ROAD   ,678117,http://www.assumptionenglish.moe.edu.sg,West,Secondary,1.378,103.763
ASSUMPTION PATHWAY SCHOOL,30 Cashew Road   ,679697,http://www.aps.edu.sg,West,Secondary,1.378,103.763
BARTLEY SECONDARY SCHOOL,10 JALAN BUNGA RAMPAI   ,538403,http://www.bartleysec.moe.edu.sg,North,Secondary,1.365,103.875
