Source,Project,Address,Price,Size_sqft,PSF
EdgeProp,PARK AVENUE SUITE UE SQUARE MALL,"$500, PARK AVENUE SUITE UE SQUARE MALL, 7 Malls nearby",500,1000,0.5
SRX,Clemenceau Avenue,"12d, Clemenceau Avenue, Retail •",500,1000,0.5
SRX,UE Square,"12d, UE Square, Retail •",500,1000,0.5
SRX,"1,000 sqft | $0.50 psf(Built)","1,000 sqft, $0.50 psf(Built), $500",500,1000,0.5
EdgeProp,ROCHESTER MALL,"$510, ROCHESTER MALL, Less than 30 mins to City Centre",510,1000,0.51
EdgeProp,Robinson Road,"$1 PSF, 8,805 sqft, 99 years",8805,8805,1.0
EdgeProp,Unknown,"$1 PSF, 1,000 sqft, Unknown",1000,1000,1.0
EdgeProp,31 Rochester Drive,"$1 PSF, 1,000 sqft, 60 Years Leasehold",1000,1000,1.0
EdgeProp,BANK OF SINGAPORE CENTRE,"$1,000, BANK OF SINGAPORE CENTRE, 5 Parks nearby",1000,1000,1.0
EdgeProp,Freehold,"$1 PSF, 1,000 sqft, Freehold",1000,1000,1.0
EdgeProp,ONE MARINA BOULEVARD,"$1,000, ONE MARINA BOULEVARD, 6 MRT/LRTs Currently nearby",1000,1000,1.0
EdgeProp,94 Yrs From 01/04/2006,"$1 PSF, 1,000 sqft, 94 Yrs From 01/04/2006",1000,1000,1.0
EdgeProp,ROBINSON ROAD,"$12,750, ROBINSON ROAD, 3 Parks nearby",12750,8805,1.45
EdgeProp,CHANGI CITY,"$9,493, CHANGI CITY, 1 Mall nearby",9493,5274,1.8
EdgeProp,CHANGI CITY,"$26,000, CHANGI CITY, 1 Mall nearby",26000,14445,1.8
EdgeProp,"5 Changi Business Park Central 1, Singap","$2 PSF, D16, 5,274 sqft",10548,5274,2.0
EdgeProp,"5 Changi Business Park Central 1, Singap","$2 PSF, D16, 14,445 sqft",28890,14445,2.0
99co,STARTING PRICE,"S$ 7,000/mo, S$ 2.05 psf, STARTING PRICE",7000,3422,2.05
99co,"S$ 7,000/mo","S$ 7,000/mo, S$ 2.05 psf, STARTING PRICE",7000,3414,2.05
SRX,Tag A,"Tag A, Vehicle Showroom •, 2,454 sqft",5900,2454,2.4
